species,pokemon,canonical_hp,canonical_atk,canonical_def,canonical_spa,canonical_spd,canonical_spe,divergence_hp,divergence_atk,divergence_def,divergence_spa,divergence_spd,divergence_spe,canonical_types,divergence_types,canonical_abilities,divergence_abilities,stats_changed,typing_changed,abilities_changed
SPECIES_ABOMASNOW,Abomasnow,90,92,75,92,85,60,90,92,75,92,85,60,Grass / Ice,Grass / Ice,Snow Warning / — / Soundproof,Grass Pelt / — / Soundproof,false,false,true
SPECIES_ABOMASNOW_MEGA,Abomasnow,90,132,105,132,105,30,90,132,105,132,105,30,Grass / Ice,Grass / Ice,Snow Warning / Snow Warning / Snow Warning,Grass Pelt / Grass Pelt / Grass Pelt,false,false,true
SPECIES_ABSOL_MEGA,Absol,65,150,60,115,60,115,65,150,60,115,60,115,Dark,Dark / Fairy,Magic Bounce / Magic Bounce / Magic Bounce,Magic Bounce / Magic Bounce / Magic Bounce,false,true,false
SPECIES_AMAURA,Amaura,77,59,50,67,63,46,77,59,50,67,63,46,Rock / Ice,Rock / Ice,Refrigerate / — / Snow Warning,Refrigerate / — / Solid Rock,false,false,true
SPECIES_ARBOLIVA,Arboliva,78,69,90,125,109,39,78,69,90,125,109,39,Grass / Normal,Grass / Normal,Seed Sower / — / Harvest,Natural Cure / — / Harvest,false,false,true
SPECIES_AURORUS,Aurorus,123,77,72,99,92,58,123,77,72,99,92,58,Rock / Ice,Rock / Ice,Refrigerate / — / Snow Warning,Refrigerate / — / Solid Rock,false,false,true
SPECIES_BONSLY,Bonsly,50,80,95,10,45,10,50,80,95,10,45,10,Rock,Grass,Sturdy / Rock Head / Rattled,Sturdy / Rock Head / Rattled,false,true,false
SPECIES_CHESNAUGHT_MEGA,Chesnaught,88,137,172,74,115,44,88,137,172,74,115,44,Grass / Fighting,Grass / Fighting,Bulletproof / Bulletproof / Bulletproof,Bulletproof / — / Bulletproof,false,false,true
SPECIES_CHIMECHO_MEGA,Chimecho,75,50,110,135,120,65,75,50,110,135,120,65,Psychic / Steel,Psychic / Steel,Levitate / Levitate / Levitate,Levitate / — / —,false,false,true
SPECIES_DELPHOX_MEGA,Delphox,75,69,72,159,125,134,75,69,72,159,125,134,Fire / Psychic,Fire / Psychic,Levitate / Levitate / Levitate,Levitate / — / Levitate,false,false,true
SPECIES_DODRIO,Dodrio,60,110,70,60,60,110,60,110,70,60,60,110,Normal / Flying,Ground / Flying,Run Away / Early Bird / Tangled Feet,Run Away / Early Bird / Tangled Feet,false,true,false
SPECIES_DOLLIV,Dolliv,52,53,60,78,78,33,52,53,60,78,78,33,Grass / Normal,Grass / Normal,Early Bird / — / Harvest,Natural Cure / — / Harvest,false,false,true
SPECIES_DRAGONITE_MEGA,Dragonite,91,124,115,145,125,100,91,124,115,145,125,100,Dragon / Flying,Dragon / Flying,Multiscale / Multiscale / Multiscale,Multiscale / — / Multiscale,false,false,true
SPECIES_ELECTIVIRE,Electivire,75,123,67,95,85,95,75,123,67,95,85,95,Electric,Electric / Fighting,Motor Drive / — / Vital Spirit,Motor Drive / — / Vital Spirit,false,true,false
