# Pokabbie feature-za-expansion canonical species data
# schema_version=1
# source_commit=91a4feca60251da39ac320bac91d7c59a8a7dd9a
species,pokemon,HP,Atk,Def,SpA,SpD,Spe,type1,type2,ability1,ability2,hidden_ability
SPECIES_ABOMASNOW,Abomasnow,90,92,75,92,85,60,TYPE_GRASS,TYPE_ICE,ABILITY_SNOW_WARNING,ABILITY_NONE,ABILITY_SOUNDPROOF
SPECIES_ABOMASNOW_MEGA,Abomasnow,90,132,105,132,105,30,TYPE_GRASS,TYPE_ICE,ABILITY_SNOW_WARNING,ABILITY_SNOW_WARNING,ABILITY_SNOW_WARNING
SPECIES_ABRA,Abra,25,20,15,105,55,90,TYPE_PSYCHIC,TYPE_PSYCHIC,ABILITY_SYNCHRONIZE,ABILITY_INNER_FOCUS,ABILITY_MAGIC_GUARD
SPECIES_ABSOL,Absol,65,130,60,75,60,75,TYPE_DARK,TYPE_DARK,ABILITY_PRESSURE,ABILITY_SUPER_LUCK,ABILITY_JUSTIFIED
SPECIES_ABSOL_MEGA,Absol,65,150,60,115,60,115,TYPE_DARK,TYPE_DARK,ABILITY_MAGIC_BOUNCE,ABILITY_MAGIC_BOUNCE,ABILITY_MAGIC_BOUNCE
SPECIES_ACCELGOR,Accelgor,80,70,40,100,60,145,TYPE_BUG,TYPE_BUG,ABILITY_HYDRATION,ABILITY_STICKY_HOLD,ABILITY_UNBURDEN
SPECIES_AEGISLASH_BLADE,Aegislash,60,140,50,140,50,60,TYPE_STEEL,TYPE_GHOST,ABILITY_STANCE_CHANGE,ABILITY_NONE,ABILITY_NONE
SPECIES_AEGISLASH_SHIELD,Aegislash,60,50,140,50,140,60,TYPE_STEEL,TYPE_GHOST,ABILITY_STANCE_CHANGE,ABILITY_NONE,ABILITY_NONE
SPECIES_AERODACTYL,Aerodactyl,80,105,65,60,75,130,TYPE_ROCK,TYPE_FLYING,ABILITY_ROCK_HEAD,ABILITY_PRESSURE,ABILITY_UNNERVE
SPECIES_AERODACTYL_MEGA,Aerodactyl,80,135,85,70,95,150,TYPE_ROCK,TYPE_FLYING,ABILITY_TOUGH_CLAWS,ABILITY_TOUGH_CLAWS,ABILITY_TOUGH_CLAWS
SPECIES_AGGRON,Aggron,70,110,180,60,60,50,TYPE_STEEL,TYPE_ROCK,ABILITY_STURDY,ABILITY_ROCK_HEAD,ABILITY_HEAVY_METAL
SPECIES_AGGRON_MEGA,Aggron,70,140,230,60,80,50,TYPE_STEEL,TYPE_STEEL,ABILITY_FILTER,ABILITY_FILTER,ABILITY_FILTER
SPECIES_AIPOM,Aipom,55,70,55,40,55,85,TYPE_NORMAL,TYPE_NORMAL,ABILITY_RUN_AWAY,ABILITY_PICKUP,ABILITY_SKILL_LINK
SPECIES_ALAKAZAM,Alakazam,55,50,45,135,95,120,TYPE_PSYCHIC,TYPE_PSYCHIC,ABILITY_SYNCHRONIZE,ABILITY_INNER_FOCUS,ABILITY_MAGIC_GUARD
SPECIES_ALAKAZAM_MEGA,Alakazam,55,50,65,175,105,150,TYPE_PSYCHIC,TYPE_PSYCHIC,ABILITY_TRACE,ABILITY_TRACE,ABILITY_TRACE
SPECIES_ALCREMIE_BERRY_CARAMEL_SWIRL,Alcremie,65,60,75,110,121,64,TYPE_FAIRY,TYPE_FAIRY,ABILITY_SWEET_VEIL,ABILITY_NONE,ABILITY_AROMA_VEIL
SPECIES_ALCREMIE_BERRY_LEMON_CREAM,Alcremie,65,60,75,110,121,64,TYPE_FAIRY,TYPE_FAIRY,ABILITY_SWEET_VEIL,ABILITY_NONE,ABILITY_AROMA_VEIL
SPECIES_ALCREMIE_BERRY_MATCHA_CREAM,Alcremie,65,60,75,110,121,64,TYPE_FAIRY,TYPE_FAIRY,ABILITY_SWEET_VEIL,ABILITY_NONE,ABILITY_AROMA_VEIL
SPECIES_ALCREMIE_BERRY_MINT_CREAM,Alcremie,65,60,75,110,121,64,TYPE_FAIRY,TYPE_FAIRY,ABILITY_SWEET_VEIL,ABILITY_NONE,ABILITY_AROMA_VEIL
SPECIES_ALCREMIE_BERRY_RAINBOW_SWIRL,Alcremie,65,60,75,110,121,64,TYPE_FAIRY,TYPE_FAIRY,ABILITY_SWEET_VEIL,ABILITY_NONE,ABILITY_AROMA_VEIL
SPECIES_ALCREMIE_BERRY_RUBY_CREAM,Alcremie,65,60,75,110,121,64,TYPE_FAIRY,TYPE_FAIRY,ABILITY_SWEET_VEIL,ABILITY_NONE,ABILITY_AROMA_VEIL
SPECIES_ALCREMIE_BERRY_RUBY_SWIRL,Alcremie,65,60,75,110,121,64,TYPE_FAIRY,TYPE_FAIRY,ABILITY_SWEET_VEIL,ABILITY_NONE,ABILITY_AROMA_VEIL
SPECIES_ALCREMIE_BERRY_SALTED_CREAM,Alcremie,65,60,75,110,121,64,TYPE_FAIRY,TYPE_FAIRY,ABILITY_SWEET_VEIL,ABILITY_NONE,ABILITY_AROMA_VEIL
SPECIES_ALCREMIE_BERRY_VANILLA_CREAM,Alcremie,65,60,75,110,121,64,TYPE_FAIRY,TYPE_FAIRY,ABILITY_SWEET_VEIL,ABILITY_NONE,ABILITY_AROMA_VEIL
SPECIES_ALCREMIE_CLOVER_CARAMEL_SWIRL,Alcremie,65,60,75,110,121,64,TYPE_FAIRY,TYPE_FAIRY,ABILITY_SWEET_VEIL,ABILITY_NONE,ABILITY_AROMA_VEIL
